         371 function calls in 31.694 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        2    0.000    0.000    0.000    0.000 bcm_host.py:92(VCOS_ALIGN_UP)
        1    0.000    0.000   31.694   31.694 camera.py:41(picam_mmal)
        1    0.000    0.000    0.000    0.000 camera.py:9(__init__)
        4    0.000    0.000    0.000    0.000 exc.py:132(__init__)
        2    0.000    0.000    0.000    0.000 exc.py:169(__init__)
       16    0.000    0.000    0.000    0.000 exc.py:173(mmal_check)
        3    0.000    0.000    0.000    0.000 mmalobj.py:1006(_set_opaque_subformat)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1032(_set_format)
        2    0.000    0.000    0.001    0.000 mmalobj.py:1050(supported_formats)
        2    0.000    0.000    0.000    0.000 mmalobj.py:1073(<listcomp>)
        2    0.000    0.000    0.001    0.000 mmalobj.py:1104(commit)
        4    0.000    0.000    0.001    0.000 mmalobj.py:1144(send_buffer)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1183(_get_buffer_count)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1185(_set_buffer_count)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1195(_get_buffer_size)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1197(_set_buffer_size)
        1    0.075    0.075    0.076    0.076 mmalobj.py:1208(enable)
        2    0.000    0.000    0.000    0.000 mmalobj.py:1219(wrapper)
        3    0.000    0.000    0.003    0.001 mmalobj.py:1263(disable)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1273(connection)
        1    0.000    0.000    0.001    0.001 mmalobj.py:1283(connect)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1334(_set_framesize)
        4    0.000    0.000    0.000    0.000 mmalobj.py:1421(__init__)
        3    0.001    0.000    0.001    0.000 mmalobj.py:1425(__getitem__)
        3    0.000    0.000    0.000    0.000 mmalobj.py:1445(<lambda>)
        3    0.001    0.000    0.001    0.000 mmalobj.py:1468(__setitem__)
        3    0.000    0.000    0.000    0.000 mmalobj.py:1481(<lambda>)
        6    0.000    0.000    0.000    0.000 mmalobj.py:1521(__init__)
        2    0.000    0.000    0.000    0.000 mmalobj.py:1705(release)
        3    0.000    0.000    0.000    0.000 mmalobj.py:1760(__init__)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1764(create)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1775(__len__)
        4    0.000    0.000    0.000    0.000 mmalobj.py:1778(get)
        2    0.000    0.000    0.000    0.000 mmalobj.py:1824(__init__)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1842(close)
        4    0.000    0.000    0.000    0.000 mmalobj.py:1865(get_buffer)
        4    0.000    0.000    0.001    0.000 mmalobj.py:1872(send_buffer)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1884(send_all_buffers)
        1    0.001    0.001    0.001    0.001 mmalobj.py:1902(__init__)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1912(close)
        4    0.000    0.000    0.001    0.000 mmalobj.py:1923(send_buffer)
        1    0.000    0.000    0.000    0.000 mmalobj.py:1933(send_all_buffers)
        1    0.000    0.000    0.001    0.001 mmalobj.py:1963(__init__)
        1    0.000    0.000    0.001    0.001 mmalobj.py:1999(_negotiate_format)
        1    0.000    0.000    0.000    0.000 mmalobj.py:2001(copy_format)
        1    0.000    0.000    0.000    0.000 mmalobj.py:2006(max_buffers)
        1    0.000    0.000    0.000    0.000 mmalobj.py:2019(<listcomp>)
        1    0.000    0.000    0.003    0.003 mmalobj.py:2277(__init__)
        2    0.000    0.000    0.000    0.000 mmalobj.py:2601(__init__)
        2    0.000    0.000    0.000    0.000 mmalobj.py:2641(_get_supported_formats)
