         208936 function calls (208434 primitive calls) in 58.987 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.009    0.000    0.107    0.000 <__array_function__ internals>:2(concatenate)
      500    0.005    0.000    0.080    0.000 <__array_function__ internals>:2(expand_dims)
      500    0.006    0.000    0.017    0.000 <__array_function__ internals>:2(where)
     1017    0.004    0.000    0.009    0.000 <string>:1(__new__)
      500    0.002    0.000    0.006    0.000 _asarray.py:88(asanyarray)
     2518    0.015    0.000    0.018    0.000 _weakrefset.py:38(_remove)
     2519    0.018    0.000    0.022    0.000 _weakrefset.py:81(add)
        2    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
        2    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
     2012    0.026    0.000    0.026    0.000 bcm_host.py:92(VCOS_ALIGN_UP)
      500    0.040    0.000   30.493    0.061 camera.py:1292(capture)
     1022    0.003    0.000    0.003    0.000 camera.py:1715(closed)
        2    0.000    0.000    0.000    0.000 camera.py:1722(recording)
        2    0.000    0.000    0.000    0.000 camera.py:1729(<genexpr>)
        1    0.000    0.000    0.033    0.033 camera.py:1961(_disable_camera)
        1    0.000    0.000    0.080    0.080 camera.py:1970(_enable_camera)
        1    0.000    0.000    0.001    0.001 camera.py:1980(_configure_splitter)
        2    0.000    0.000    0.013    0.006 camera.py:2005(_configure_camera)
        2    0.000    0.000    0.008    0.004 camera.py:2021(<listcomp>)
        1    0.000    0.000    0.000    0.000 camera.py:2093(_get_framerate)
        1    0.000    0.000    0.000    0.000 camera.py:2169(_get_sensor_mode)
        1    0.000    0.000    0.000    0.000 camera.py:2220(_get_clock_mode)
        1    0.000    0.000    0.117    0.117 camera.py:2263(_set_resolution)
        1    0.000    0.000    0.000    0.000 camera.py:2516(_set_saturation)
        1    0.000    0.000    0.000    0.000 camera.py:2535(_set_sharpness)
        1    0.000    0.000    0.000    0.000 camera.py:2555(_set_contrast)
        1    0.000    0.000    0.000    0.000 camera.py:2573(_set_brightness)
        1    0.000    0.000    0.000    0.000 camera.py:2771(_set_iso)
        1    0.000    0.000    0.000    0.000 camera.py:2835(_set_meter_mode)
        1    0.000    0.000    0.000    0.000 camera.py:2869(_set_video_stabilization)
        1    0.000    0.000    0.000    0.000 camera.py:2895(_set_exposure_compensation)
        1    0.000    0.000    0.000    0.000 camera.py:2925(_set_exposure_mode)
        1    0.000    0.000    0.000    0.000 camera.py:3008(_set_awb_mode)
        1    0.000    0.000    0.000    0.000 camera.py:3098(_set_image_effect)
        1    0.003    0.003    0.123    0.123 camera.py:328(__init__)
        1    0.000    0.000    0.000    0.000 camera.py:3282(_set_color_effects)
        1    0.000    0.000    0.000    0.000 camera.py:3322(_set_rotation)
        1    0.000    0.000    0.000    0.000 camera.py:3341(_get_vflip)
        1    0.000    0.000    0.001    0.001 camera.py:3345(_set_vflip)
        1    0.000    0.000    0.001    0.001 camera.py:3364(_get_hflip)
        1    0.000    0.000    0.001    0.001 camera.py:3368(_set_hflip)
        1    0.000    0.000    0.000    0.000 camera.py:3396(_set_zoom)
        1    0.000    0.000    0.003    0.003 camera.py:454(_init_camera)
        1    0.000    0.000    0.005    0.005 camera.py:482(_init_defaults)
        1    0.000    0.000    0.012    0.012 camera.py:499(_init_splitter)
